"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.079195487E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.720221243E0,4.720221243E0,-1.000000000E0
5.179194725E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.720968639E0,4.720968639E0,-1.000000000E0
5.279194021E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.721810011E0,4.721810011E0,-1.000000000E0
5.379193187E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.722791916E0,4.722791916E0,-1.000000000E0
5.479192472E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.723677557E0,4.723677557E0,-1.000000000E0
5.579191744E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.724386086E0,4.724386086E0,-1.000000000E0
5.679190958E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.725445861E0,4.725445861E0,-1.000000000E0
5.779190230E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.725919602E0,4.725919602E0,-1.000000000E0
5.879189467E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.726921122E0,4.726921122E0,-1.000000000E0
5.979188764E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.727225197E0,4.727225197E0,-1.000000000E0
6.079187989E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.727813530E0,4.727813530E0,-1.000000000E0
6.179187262E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.728184187E0,4.728184187E0,-1.000000000E0
6.279186571E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.728340133E0,4.728340133E0,-1.000000000E0
6.379185760E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.728507122E0,4.728507122E0,-1.000000000E0
6.479185045E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.728818035E0,4.728818035E0,-1.000000000E0
6.579184222E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.728935892E0,4.728935892E0,-1.000000000E0
6.679183519E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.729307292E0,4.729307292E0,-1.000000000E0
6.779182756E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.729219123E0,4.729219123E0,-1.000000000E0
6.879182017E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.729747278E0,4.729747278E0,-1.000000000E0
6.979181206E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.729540549E0,4.729540549E0,-1.000000000E0
7.079180419E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.729672347E0,4.729672347E0,-1.000000000E0
7.179179680E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.729395656E0,4.729395656E0,-1.000000000E0
7.279178929E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.729646297E0,4.729646297E0,-1.000000000E0
7.379178154E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.730185991E0,4.730185991E0,-1.000000000E0
7.479177415E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.730337743E0,4.730337743E0,-1.000000000E0
7.579176712E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.730220620E0,4.730220620E0,-1.000000000E0
7.679175901E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.730084312E0,4.730084312E0,-1.000000000E0
7.779175150E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.730397798E0,4.730397798E0,-1.000000000E0
7.879174304E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.730350969E0,4.730350969E0,-1.000000000E0
7.979173577E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.730394832E0,4.730394832E0,-1.000000000E0
8.079172885E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.730957771E0,4.730957771E0,-1.000000000E0
8.179172075E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.731210929E0,4.731210929E0,-1.000000000E0
8.279171240E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.731756037E0,4.731756037E0,-1.000000000E0
8.379170525E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.731657503E0,4.731657503E0,-1.000000000E0
8.479169774E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.731553739E0,4.731553739E0,-1.000000000E0
8.579168975E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.731622862E0,4.731622862E0,-1.000000000E0
8.679168177E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,"",4.731820228E0,4.731820228E0,-1.000000000E0
