"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.222345583E0,-2.679504395E1,3.617553711E-1,-4.393942261E1,5.146628125E1
1.232319583E0,-2.693103027E1,-9.204101562E-2,-4.356378174E1,5.121612971E1
1.242293583E0,-2.745642090E1,-3.840179443E-1,-4.335760498E1,5.132138373E1
1.252267583E0,-2.754205322E1,-6.769256592E-1,-4.362124634E1,5.159298456E1
1.262241583E0,-2.776116943E1,-1.003356934E0,-4.331204224E1,5.145505083E1
1.272214583E0,-2.772894287E1,-1.597824097E0,-4.338385010E1,5.151316107E1
1.282188583E0,-2.799145508E1,-2.072662354E0,-4.307620239E1,5.141377927E1
1.292162583E0,-2.812023926E1,-2.424270630E0,-4.275643921E1,5.123219728E1
1.302136583E0,-2.829138184E1,-2.779830933E0,-4.296850586E1,5.152108541E1
1.312110583E0,-2.885931396E1,-2.942047119E0,-4.281826782E1,5.171962590E1
1.322084583E0,-2.881176758E1,-3.631195068E0,-4.254757690E1,5.151310347E1
1.332058583E0,-2.893328857E1,-3.766983032E0,-4.218807983E1,5.129482848E1
1.342032583E0,-2.880310059E1,-4.035675049E0,-4.237371826E1,5.139491488E1
1.352005583E0,-2.936730957E1,-4.388214111E0,-4.187799072E1,5.133674514E1
1.361979583E0,-2.973284912E1,-4.772384644E0,-4.222604370E1,5.186382881E1
1.371953583E0,-3.023089600E1,-5.012695312E0,-4.191867065E1,5.192503381E1
1.381927583E0,-3.048205566E1,-5.661026001E0,-4.166546631E1,5.193470916E1
1.391901583E0,-3.054980469E1,-5.955032349E0,-4.124362183E1,5.167000405E1
1.401875583E0,-3.098303223E1,-6.124954224E0,-4.091128540E1,5.168362045E1
1.411849583E0,-3.112487793E1,-6.650314331E0,-4.085470581E1,5.178891478E1
1.421822583E0,-3.187481689E1,-7.018417358E0,-4.041079712E1,5.194511197E1
1.431796583E0,-3.206500244E1,-7.102279663E0,-4.013638306E1,5.186073662E1
1.441770583E0,-3.209484863E1,-7.514556885E0,-4.005010986E1,5.187060029E1
1.451744583E0,-3.230517578E1,-8.007690430E0,-3.952905273E1,5.167488266E1
1.461718583E0,-3.249676514E1,-8.472991943E0,-3.953991699E1,5.187712764E1
1.471692583E0,-3.240002441E1,-8.902008057E0,-3.887841797E1,5.138617239E1
1.481666583E0,-3.235540771E1,-9.566925049E0,-3.914440918E1,5.167865356E1
1.491639583E0,-3.248345947E1,-1.017251587E1,-3.894354248E1,5.172286457E1
1.501613583E0,-3.263519287E1,-1.059805298E1,-3.863183594E1,5.167004247E1
1.511587583E0,-3.277197266E1,-1.152484131E1,-3.810009766E1,5.156007758E1
1.521561583E0,-3.240325928E1,-1.231335449E1,-3.822076416E1,5.159861164E1
1.531535583E0,-3.257696533E1,-1.271923828E1,-3.798834229E1,5.163479294E1
1.541509583E0,-3.211352539E1,-1.325262451E1,-3.798822021E1,5.147830072E1
1.551483583E0,-3.187609863E1,-1.411148071E1,-3.811865234E1,5.165511793E1
1.561456583E0,-3.178436279E1,-1.495996094E1,-3.785128784E1,5.164074109E1
1.571430583E0,-3.154876709E1,-1.554528809E1,-3.780239868E1,5.163334226E1
1.581404583E0,-3.141394043E1,-1.628402710E1,-3.746728516E1,5.153448019E1
1.591378583E0,-3.102374268E1,-1.702239990E1,-3.730041504E1,5.141551974E1
1.601352583E0,-3.072857666E1,-1.786779785E1,-3.715234375E1,5.141789834E1
1.611326583E0,-3.035339355E1,-1.857669067E1,-3.742013550E1,5.163998913E1
1.621300583E0,-3.018481445E1,-1.953887939E1,-3.705258179E1,5.163123714E1
1.631273583E0,-2.991809082E1,-2.006390381E1,-3.703125000E1,5.166203510E1
1.641247583E0,-2.928552246E1,-2.101013184E1,-3.699078369E1,5.164673798E1
1.651221583E0,-2.856658936E1,-2.182766724E1,-3.707589722E1,5.164415977E1
1.661195583E0,-2.808172607E1,-2.269436646E1,-3.648147583E1,5.132753342E1
1.671169583E0,-2.757067871E1,-2.322949219E1,-3.594592285E1,5.091032313E1
1.681143583E0,-2.734106445E1,-2.422439575E1,-3.588098145E1,5.120351535E1
1.691117583E0,-2.677386475E1,-2.460491943E1,-3.541156006E1,5.075648214E1
1.701091583E0,-2.613214111E1,-2.540725708E1,-3.561334229E1,5.095809710E1
1.711064583E0,-2.580053711E1,-2.593286133E1,-3.521420288E1,5.077618631E1
1.721038750E0,-2.507971191E1,-2.673355103E1,-3.556124878E1,5.107129443E1
1.731012750E0,-2.443878174E1,-2.745169067E1,-3.576678467E1,5.128462010E1
1.740986750E0,-2.343872070E1,-2.799121094E1,-3.592651367E1,5.122104941E1
1.750960750E0,-2.279394531E1,-2.832022095E1,-3.572595215E1,5.097001584E1
1.760934750E0,-2.198565674E1,-2.880584717E1,-3.567352295E1,5.085023277E1
1.770908750E0,-2.148693848E1,-2.948452759E1,-3.576123047E1,5.108709717E1
1.780881750E0,-2.086108398E1,-2.986227417E1,-3.602206421E1,5.123016058E1
1.790855750E0,-2.050262451E1,-3.034777832E1,-3.625500488E1,5.153416963E1
1.800829750E0,-2.003277588E1,-3.089520264E1,-3.545953369E1,5.111950885E1
1.810803750E0,-1.995922852E1,-3.115838623E1,-3.539419556E1,5.120512586E1
1.820777750E0,-1.967944336E1,-3.174725342E1,-3.512957764E1,5.127626952E1
1.830751750E0,-1.948583984E1,-3.223880005E1,-3.514593506E1,5.151965580E1
1.840725750E0,-1.916455078E1,-3.220080566E1,-3.550436401E1,5.162103986E1
1.850698750E0,-1.885870361E1,-3.242306519E1,-3.529910278E1,5.150662594E1
1.860672750E0,-1.835876465E1,-3.256658936E1,-3.567462158E1,5.167499982E1
1.870646750E0,-1.805371094E1,-3.256268311E1,-3.546331787E1,5.141898214E1
1.880620750E0,-1.762390137E1,-3.248110962E1,-3.570513916E1,5.138561417E1
1.890594750E0,-1.746789551E1,-3.259973145E1,-3.562872314E1,5.135441341E1
1.900568750E0,-1.717175293E1,-3.253103638E1,-3.556420898E1,5.116591040E1
1.910542750E0,-1.679010010E1,-3.279931641E1,-3.550399780E1,5.116870604E1
1.920515750E0,-1.677813721E1,-3.321261597E1,-3.495019531E1,5.104997453E1
1.930489750E0,-1.666235352E1,-3.334112549E1,-3.433734131E1,5.067857221E1
1.940463750E0,-1.660937500E1,-3.349972534E1,-3.431079102E1,5.074774198E1
1.950437750E0,-1.669476318E1,-3.349435425E1,-3.397552490E1,5.054624790E1
1.960411750E0,-1.637512207E1,-3.358181763E1,-3.447271729E1,5.083553221E1
1.970385750E0,-1.612719727E1,-3.322729492E1,-3.475177002E1,5.071316534E1
1.980359750E0,-1.558605957E1,-3.316702271E1,-3.584143066E1,5.125997269E1
1.990332750E0,-1.476635742E1,-3.322399902E1,-3.613134766E1,5.125771850E1
2.000306750E0,-1.414392090E1,-3.292187500E1,-3.639407349E1,5.107278078E1
2.010280750E0,-1.372235107E1,-3.260113525E1,-3.658633423E1,5.088906357E1
2.020254750E0,-1.302441406E1,-3.252447510E1,-3.743698120E1,5.127381791E1
2.030228750E0,-1.213989258E1,-3.246350098E1,-3.744396973E1,5.102261025E1
